"T.gas","T.liquid","U.gas:0","U.gas:1","U.gas:2","U.liquid:0","U.liquid:1","U.liquid:2","air.gas","alpha.gas","alpha.liquid","alphat.gas","alphat.liquid","d.gas","k.gas","k.liquid","nut.gas","nut.liquid","omega.gas","omega.liquid","p","p_rgh","particle.gas","particle.liquid","particleMass_inAir","water.liquid","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
350,350,0.12655,0.11651,-0.01625,0.12532,0.029997,-0.0049729,1,0.11154,0.88846,0.34174,1.5633,0.00057861,0.038604,0.013823,0.002454,0.0011787,15.721,9.7478,1.3939e+07,1.394e+07,0,0.18181,14.4,0.81819,1,0.012,0,0.15,0.012
350,350,0.12861,0.11575,-0.016494,0.12736,0.029224,-0.0050313,1,0.11065,0.88935,0.3417,1.5587,0.00057861,0.038595,0.013825,0.0024538,0.0011753,15.719,9.75,1.3939e+07,1.394e+07,0,0.18181,14.282,0.81819,1,0.0122,0,0.15,0.0122
350,350,0.13067,0.11498,-0.016738,0.1294,0.028452,-0.0050898,1,0.10975,0.89025,0.34167,1.5542,0.00057861,0.038586,0.013827,0.0024535,0.0011719,15.717,9.7521,1.3939e+07,1.394e+07,0,0.18181,14.163,0.81819,1,0.0124,0,0.15,0.0124
350,350,0.13273,0.11422,-0.016982,0.13143,0.027679,-0.0051482,1,0.10886,0.89114,0.34163,1.5496,0.00057861,0.038577,0.01383,0.0024532,0.0011684,15.715,9.7543,1.3939e+07,1.394e+07,0,0.18181,14.045,0.81819,1,0.0126,0,0.15,0.0126
350,350,0.13479,0.11345,-0.017226,0.13347,0.026907,-0.0052066,1,0.10797,0.89203,0.34159,1.5451,0.00057861,0.038568,0.013832,0.002453,0.001165,15.713,9.7565,1.3939e+07,1.394e+07,0,0.18181,13.926,0.81819,1,0.0128,0,0.15,0.0128
350,350,0.13685,0.11269,-0.01747,0.13551,0.026134,-0.005265,1,0.10708,0.89292,0.34156,1.5405,0.00057861,0.038559,0.013834,0.0024527,0.0011616,15.711,9.7587,1.3939e+07,1.394e+07,0,0.18181,13.808,0.81819,1,0.013,0,0.15,0.013
350,350,0.13891,0.11192,-0.017714,0.13754,0.025361,-0.0053235,1,0.10619,0.89381,0.34152,1.536,0.00057861,0.03855,0.013836,0.0024525,0.0011581,15.709,9.7609,1.3939e+07,1.394e+07,0,0.18181,13.689,0.81819,1,0.0132,0,0.15,0.0132
350,350,0.14097,0.11116,-0.017958,0.13958,0.024589,-0.0053819,1,0.1053,0.8947,0.34149,1.5315,0.00057861,0.038541,0.013838,0.0024522,0.0011547,15.707,9.7631,1.3939e+07,1.394e+07,0,0.18181,13.571,0.81819,1,0.0134,0,0.15,0.0134
350,350,0.14303,0.11039,-0.018202,0.14161,0.023816,-0.0054403,1,0.10441,0.89559,0.34145,1.5269,0.00057861,0.038532,0.01384,0.002452,0.0011513,15.705,9.7653,1.3939e+07,1.394e+07,0,0.18181,13.452,0.81819,1,0.0136,0,0.15,0.0136
350,350,0.14509,0.10963,-0.018446,0.14365,0.023044,-0.0054988,1,0.10351,0.89649,0.34141,1.5224,0.00057861,0.038523,0.013842,0.0024517,0.0011478,15.703,9.7675,1.3939e+07,1.394e+07,0,0.18181,13.334,0.81819,1,0.0138,0,0.15,0.0138
350,350,0.14715,0.10887,-0.01869,0.14569,0.022271,-0.0055572,1,0.10262,0.89738,0.34138,1.5178,0.00057861,0.038514,0.013844,0.0024514,0.0011444,15.701,9.7697,1.3939e+07,1.394e+07,0,0.18181,13.215,0.81819,1,0.014,0,0.15,0.014
350,350,0.14921,0.1081,-0.018934,0.14772,0.021499,-0.0056156,1,0.10173,0.89827,0.34134,1.5133,0.00057861,0.038505,0.013847,0.0024512,0.001141,15.699,9.7719,1.3939e+07,1.394e+07,0,0.18181,13.097,0.81819,1,0.0142,0,0.15,0.0142
350,350,0.15127,0.10734,-0.019178,0.14976,0.020726,-0.005674,1,0.10084,0.89916,0.34131,1.5087,0.00057861,0.038496,0.013849,0.0024509,0.0011376,15.697,9.7741,1.3939e+07,1.394e+07,0,0.18181,12.978,0.81819,1,0.0144,0,0.15,0.0144
350,350,0.15333,0.10657,-0.019422,0.15179,0.019954,-0.0057325,1,0.099948,0.90005,0.34127,1.5042,0.00057861,0.038488,0.013851,0.0024507,0.0011341,15.695,9.7762,1.3939e+07,1.394e+07,0,0.18181,12.859,0.81819,1,0.0146,0,0.15,0.0146
350,350,0.15539,0.10581,-0.019666,0.15383,0.019181,-0.0057909,1,0.099056,0.90094,0.34123,1.4996,0.00057861,0.038479,0.013853,0.0024504,0.0011307,15.693,9.7784,1.3939e+07,1.394e+07,0,0.18181,12.741,0.81819,1,0.0148,0,0.15,0.0148
350,350,0.15745,0.10504,-0.01991,0.15587,0.018409,-0.0058493,1,0.098165,0.90184,0.3412,1.495,0.00057861,0.03847,0.013855,0.0024501,0.0011273,15.691,9.7806,1.3939e+07,1.394e+07,0,0.18181,12.622,0.81819,1,0.015,0,0.15,0.015
350,350,0.15951,0.10428,-0.020154,0.1579,0.017636,-0.0059078,1,0.097273,0.90273,0.34116,1.4905,0.00057861,0.038461,0.013857,0.0024499,0.0011238,15.689,9.7828,1.3939e+07,1.394e+07,0,0.18181,12.504,0.81819,1,0.0152,0,0.15,0.0152
350,350,0.16157,0.10351,-0.020398,0.15994,0.016864,-0.0059662,1,0.096382,0.90362,0.34113,1.4859,0.00057861,0.038452,0.013859,0.0024496,0.0011204,15.687,9.785,1.3939e+07,1.394e+07,0,0.18181,12.385,0.81819,1,0.0154,0,0.15,0.0154
350,350,0.16363,0.10275,-0.020642,0.16198,0.016091,-0.0060246,1,0.09549,0.90451,0.34109,1.4814,0.00057861,0.038443,0.013861,0.0024494,0.001117,15.685,9.7872,1.3939e+07,1.394e+07,0,0.18181,12.267,0.81819,1,0.0156,0,0.15,0.0156
350,350,0.16569,0.10198,-0.020886,0.16401,0.015319,-0.0060831,1,0.094599,0.9054,0.34105,1.4768,0.00057861,0.038434,0.013863,0.0024491,0.0011135,15.683,9.7894,1.3939e+07,1.394e+07,0,0.18181,12.148,0.81819,1,0.0158,0,0.15,0.0158
350,350,0.16775,0.10122,-0.02113,0.16605,0.014546,-0.0061415,1,0.093707,0.90629,0.34102,1.4723,0.00057861,0.038425,0.013866,0.0024489,0.0011101,15.681,9.7916,1.3939e+07,1.394e+07,0,0.18181,12.03,0.81819,1,0.016,0,0.15,0.016
350,350,0.16981,0.10046,-0.021374,0.16808,0.013774,-0.0061999,1,0.092816,0.90718,0.34098,1.4677,0.00057861,0.038416,0.013868,0.0024486,0.0011067,15.679,9.7938,1.3939e+07,1.394e+07,0,0.18181,11.911,0.81819,1,0.0162,0,0.15,0.0162
350,350,0.17187,0.099691,-0.021618,0.17012,0.013001,-0.0062584,1,0.091924,0.90808,0.34095,1.4632,0.00057861,0.038407,0.01387,0.0024483,0.0011032,15.677,9.796,1.3939e+07,1.394e+07,0,0.18181,11.793,0.81819,1,0.0164,0,0.15,0.0164
350,350,0.17393,0.098927,-0.021862,0.17216,0.012229,-0.0063168,1,0.091033,0.90897,0.34091,1.4586,0.00057861,0.038398,0.013872,0.0024481,0.0010998,15.675,9.7982,1.3939e+07,1.394e+07,0,0.18181,11.674,0.81819,1,0.0166,0,0.15,0.0166
350,350,0.17599,0.098163,-0.022106,0.17419,0.011456,-0.0063752,1,0.090141,0.90986,0.34087,1.4541,0.00057861,0.038389,0.013874,0.0024478,0.0010964,15.673,9.8003,1.3939e+07,1.394e+07,0,0.18181,11.556,0.81819,1,0.0168,0,0.15,0.0168
350,350,0.17805,0.097398,-0.02235,0.17623,0.010684,-0.0064336,1,0.08925,0.91075,0.34084,1.4495,0.00057861,0.03838,0.013876,0.0024476,0.001093,15.671,9.8025,1.3939e+07,1.394e+07,0,0.18181,11.437,0.81819,1,0.017,0,0.15,0.017
350,350,0.18011,0.096634,-0.022594,0.17827,0.009911,-0.0064921,1,0.088358,0.91164,0.3408,1.445,0.00057861,0.038371,0.013878,0.0024473,0.0010895,15.669,9.8047,1.3939e+07,1.394e+07,0,0.18181,11.319,0.81819,1,0.0172,0,0.15,0.0172
350,350,0.18217,0.095869,-0.022838,0.1803,0.0091385,-0.0065505,1,0.087467,0.91253,0.34077,1.4404,0.00057861,0.038362,0.01388,0.0024471,0.0010861,15.667,9.8069,1.3939e+07,1.394e+07,0,0.18181,11.2,0.81819,1,0.0174,0,0.15,0.0174
350,350,0.18423,0.095105,-0.023082,0.18234,0.0083659,-0.0066089,1,0.086575,0.91342,0.34073,1.4359,0.00057861,0.038353,0.013882,0.0024468,0.0010827,15.665,9.8091,1.3939e+07,1.394e+07,0,0.18181,11.082,0.81819,1,0.0176,0,0.15,0.0176
